"PVWatts: Hourly PV Performance Data"
"Requested Location:","78249"
"Location:","SAN ANTONIO INTL AP, TX"
"Lat (deg N):","29.53"
"Long (deg W):","98.47"
"Elev (m):","247"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","16.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","2","0","0","4.4","2.1","0","4.4","0","0"
"1","5","3","0","0","5.6","2.1","0","5.6","0","0"
"1","5","4","0","0","6.7","3.6","0","6.7","0","0"
"1","5","5","0","0","7.2","2.6","0","7.2","0","0"
"1","5","6","0","0","7.2","5.2","0","7.2","0","0"
"1","5","7","1","13","7.8","4.1","12.527","6.548","46.594","23.484"
"1","5","8","7","71","8.3","3.6","74.701","8.344","275.907","248.358"
"1","5","9","2","145","8.9","4.6","147.118","10.575","540.243","507.021"
"1","5","10","12","202","9.4","3.6","211.165","12.957","767.151","728.583"
"1","5","11","1","257","11.1","4.1","260.001","15.679","933.574","890.808"
"1","5","12","8","260","11.1","3.6","267.858","16.234","959.327","915.89"
"1","5","13","6","258","12.8","4.1","264.55","17.614","941.58","898.606"
"1","5","14","1","232","13.3","4.1","234.882","17.463","836.594","796.303"
"1","5","15","1","183","13.3","4.1","186.578","16.342","667.887","631.712"
"1","5","16","1","111","13.3","4.1","115.239","14.674","415.53","385.059"
"1","5","17","1","30","13.3","3.1","31.048","12.617","112.801","88.455"
"1","5","18","0","0","12.8","2.6","0","12.8","0","0"
"1","5","19","0","0","12.2","2.1","0","12.2","0","0"
"1","5","20","0","0","11.1","3.1","0","11.1","0","0"
"1","5","21","0","0","10","2.6","0","10","0","0"
"1","5","22","0","0","10","2.1","0","10","0","0"
"1","5","23","0","0","10.6","2.1","0","10.6","0","0"
"1","6","0","0","0","10.6","2.1","0","10.6","0","0"
"1","6","1","0","0","11.1","1","0","11.1","0","0"
"1","6","2","0","0","11.1","1.5","0","11.1","0","0"
"1","6","3","0","0","11.7","1","0","11.7","0","0"
"1","6","4","0","0","11.7","1.5","0","11.7","0","0"
"1","6","5","0","0","11.7","1.5","0","11.7","0","0"
"1","6","6","0","0","11.7","1.5","0","11.7","0","0"
"1","6","7","0","9","11.7","2.6","8.52","10.118","31.357","8.527"
"1","6","8","0","43","12.8","0","40.937","10.645","150.324","125.262"
"1","6","9","0","94","13.3","1.5","91.025","13.998","329.316","300.668"
"1","6","10","0","138","14.4","1.5","134.466","16.639","480.74","448.847"
"1","6","11","0","310","16.1","2.6","318.183","22.768","1106.035","1058.668"
"1","6","12","2","297","16.7","2.6","303.24","23.517","1050.397","1004.543"
"1","6","13","1","301","17.2","3.1","307.775","23.687","1065.269","1019.013"
"1","6","14","1","148","17.2","1.5","145.045","20.693","509.033","476.512"
"1","6","15","1","180","17.8","6.7","183.014","19.905","644.589","608.963"
"1","6","16","1","106","17.2","7.2","109.059","18.071","387.251","357.385"
"1","6","17","0","26","15.6","6.2","25.72","15.009","92.63","68.665"
"1","6","18","0","0","14.4","6.2","0","14.4","0","0"
"1","6","19","0","0","14.4","6.2","0","14.4","0","0"
"1","6","20","0","0","13.3","6.2","0","13.3","0","0"
"1","6","21","0","0","12.8","5.2","0","12.8","0","0"
"1","6","22","0","0","12.2","6.7","0","12.2","0","0"
"1","6","23","0","0","11.7","6.2","0","11.7","0","0"
"1","7","0","0","0","10","3.1","0","10","0","0"
"1","7","1","0","0","9.4","2.6","0","9.4","0","0"
"1","7","2","0","0","7.2","2.6","0","7.2","0","0"
"1","7","3","0","0","6.1","2.6","0","6.1","0","0"
"1","7","4","0","0","3.9","2.6","0","3.9","0","0"
"1","7","5","0","0","3.9","3.1","0","3.9","0","0"
"1","7","6","0","0","3.9","2.6","0","3.9","0","0"
"1","7","7","3","10","5","2.6","10.08","3.332","37.493","14.55"
"1","7","8","66","61","7.8","3.6","91.512","8.227","328.431","299.802"
"1","7","9","235","153","10.6","3.6","306.243","16.218","1079.2","1032.566"
"1","7","10","108","190","11.7","2.6","283.343","17.987","1003.545","958.943"
"1","7","11","455","236","13.3","3.6","647.318","27.037","2199.799","2117.356"
"1","7","12","592","233","14.4","2.6","781.285","33.795","2572.051","2475.346"
"1","7","13","558","236","14.4","2.1","743.508","34.524","2437.84","2346.413"
"1","7","14","520","155","15","0","577.56","39.835","1837.865","1768.158"
"1","7","15","519","147","15.6","2.1","494.912","28.75","1645.225","1581.841"
"1","7","16","388","91","15","1.5","279.69","23.157","922.154","879.683"
"1","7","17","81","33","13.3","3.1","62.912","13.831","210.123","183.894"
"1","7","18","0","0","12.2","3.6","0","12.2","0","0"
"1","7","19","0","0","10.6","2.6","0","10.6","0","0"
"1","7","20","0","0","8.3","2.6","0","8.3","0","0"
"1","7","21","0","0","6.7","2.6","0","6.7","0","0"
"1","7","22","0","0","5.6","2.6","0","5.6","0","0"
"1","7","23","0","0","3.9","3.6","0","3.9","0","0"
"1","8","0","0","0","3.3","2.6","0","3.3","0","0"
"1","8","1","0","0","3.3","2.6","0","3.3","0","0"
"1","8","2","0","0","2.8","3.6","0","2.8","0","0"
