"PVWatts: Hourly PV Performance Data"
"Requested Location:","78249"
"Location:","SAN ANTONIO INTL AP, TX"
"Lat (deg N):","29.53"
"Long (deg W):","98.47"
"Elev (m):","247"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","16.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","18","8","823","68","21.7","6.2","490.653","29.388","1579.458","1518.161"
"4","18","9","901","85","23.9","6","732.246","36.335","2359.685","2271.261"
"4","18","10","946","96","26.1","5.9","924.736","42.38","2915.561","2804.647"
"4","18","11","971","103","28.3","5.7","1050.911","47.433","3233.311","3108.359"
"4","18","12","971","114","29.1","4.7","1097.481","51.543","3304.356","3176.147"
"4","18","13","957","124","29.8","3.6","1065.48","53.764","3169.269","3047.215"
"4","18","14","930","127","30.6","2.6","955.156","54.472","2826.274","2719.15"
"4","18","15","864","124","30","3.1","765.28","48.297","2324.685","2237.589"
"4","18","16","670","126","29.5","3.6","488.683","40.654","1506.46","1447.436"
"4","18","17","429","115","28.9","4.1","241.762","33.841","720.503","683.071"
"4","18","18","214","34","25.2","3.6","41.11","25.308","113.597","89.236"
"4","18","19","0","0","21.5","3.1","0","21.5","0","0"
"4","18","20","0","0","17.8","2.6","0","17.8","0","0"
"4","18","21","0","0","16.1","2.6","0","16.1","0","0"
"4","18","22","0","0","14.5","2.6","0","14.5","0","0"
"4","18","23","0","0","12.8","2.6","0","12.8","0","0"
"4","19","0","0","0","11.9","2.8","0","11.9","0","0"
"4","19","1","0","0","10.9","2.9","0","10.9","0","0"
"4","19","2","0","0","10","3.1","0","10","0","0"
"4","19","3","0","0","11.7","3.6","0","11.7","0","0"
"4","19","4","0","0","13.3","4.1","0","13.3","0","0"
"4","19","5","0","0","15","4.6","0","15","0","0"
"4","19","6","115","33","16.7","6","33.617","16.163","108.287","84.027"
"4","19","7","449","84","18.3","7.4","205.88","20.526","632.993","597.639"
"4","19","8","712","109","20","8.8","477.204","25.951","1569.89","1508.893"
"4","19","9","660","190","21.5","8.6","671.521","30.538","2231.152","2147.554"
"4","19","10","777","176","22.9","8.4","864.3","35.031","2828.212","2721.007"
"4","19","11","773","197","24.4","8.2","961.089","38.319","3098.642","2979.745"
"4","19","12","833","209","24.8","8","1062.107","40.524","3387.063","3255.009"
"4","19","13","768","260","25.2","7.9","1030.258","40.674","3282.588","3155.381"
"4","19","14","630","293","25.6","7.7","864.034","38.796","2776.342","2671.308"
"4","19","15","633","216","25.4","7.4","689.841","36.075","2234.172","2150.462"
"4","19","16","581","162","25.2","7","474.391","32.624","1527.383","1467.712"
"4","19","17","506","76","25","6.7","228.1","28.335","679.529","643.078"
"4","19","18","146","33","22.4","5.3","36.397","22.257","108.041","83.785"
"4","19","19","0","0","19.8","4","0","19.8","0","0"
"4","19","20","0","0","17.2","2.6","0","17.2","0","0"
"4","19","21","0","0","15.4","2.6","0","15.4","0","0"
"4","19","22","0","0","13.5","2.6","0","13.5","0","0"
"4","19","23","0","0","11.7","2.6","0","11.7","0","0"
"4","20","0","0","0","11.9","2.8","0","11.9","0","0"
"4","20","1","0","0","12","2.9","0","12","0","0"
"4","20","2","0","0","12.2","3.1","0","12.2","0","0"
"4","20","3","0","0","12.8","3.8","0","12.8","0","0"
"4","20","4","0","0","13.3","4.5","0","13.3","0","0"
"4","20","5","0","0","13.9","5.2","0","13.9","0","0"
"4","20","6","5","22","14.1","5.2","21.042","13.227","75.857","52.205"
"4","20","7","97","104","14.2","5.2","126.754","15.339","435.961","405.048"
"4","20","8","67","244","14.4","5.2","270.662","18.473","953.4","910.118"
"4","20","9","154","254","15","5","362.691","21.214","1265.309","1213.469"
"4","20","10","101","422","15.5","4.8","506.489","24.9","1742.484","1675.947"
"4","20","11","437","427","16.1","4.6","869.96","33.354","2874.836","2765.66"
"4","20","12","716","317","17.6","4.6","1058.242","39.259","3396.38","3263.889"
"4","20","13","444","400","19.1","4.6","853.19","36.988","2769.357","2664.614"
"4","20","14","572","276","20.6","4.6","795.124","36.968","2578.404","2481.445"
"4","20","15","740","176","20.6","4.4","727.56","35.898","2356.575","2268.271"
"4","20","16","615","99","20.6","4.3","431.223","29.782","1400.56","1344.751"
"4","20","17","602","66","20.6","4.1","246.441","25.432","734.001","696.242"
"4","20","18","243","33","19.1","3.6","40.833","19.079","113.22","88.866"
"4","20","19","0","0","17.6","3.1","0","17.6","0","0"
"4","20","20","0","0","16.1","2.6","0","16.1","0","0"
"4","20","21","0","0","15","2.8","0","15","0","0"
"4","20","22","0","0","13.9","2.9","0","13.9","0","0"
"4","20","23","0","0","12.8","3.1","0","12.8","0","0"
"4","21","0","0","0","10.9","2.9","0","10.9","0","0"
"4","21","1","0","0","9.1","2.8","0","9.1","0","0"
"4","21","2","0","0","7.2","2.6","0","7.2","0","0"
"4","21","3","0","0","6.8","2.8","0","6.8","0","0"
"4","21","4","0","0","6.5","2.9","0","6.5","0","0"
"4","21","5","0","0","6.1","3.1","0","6.1","0","0"
"4","21","6","106","33","9.4","2.9","33.119","8.484","111.345","87.027"
"4","21","7","395","96","12.8","2.8","203.698","16.19","649.368","613.63"
"4","21","8","586","137","16.1","2.6","442.167","26.038","1461.237","1403.597"
"4","21","9","551","226","18","3.5","627.813","31.713","2076.14","1998.174"
"4","21","10","550","284","19.8","4.3","776.838","36.005","2530.753","2435.689"
"4","21","11","431","355","21.7","5.2","792.3","36.77","2574.43","2477.63"
"4","21","12","690","237","23.2","5.9","951.692","40.004","3042.943","2926.504"
"4","21","13","802","173","24.6","6.5","969.186","40.94","3083.78","2965.541"
"4","21","14","831","161","26.1","7.2","905.518","40.472","2884.205","2774.63"
"4","21","15","780","144","25.9","7.7","722.445","36.843","2327.886","2240.669"
"4","21","16","709","113","25.8","8.3","494.796","32.764","1583.631","1522.202"
"4","21","17","543","78","25.6","8.8","240.521","28.555","713.955","676.68"
"4","21","18","176","36","23.9","8.1","39.883","23.824","116.25","91.839"
"4","21","19","0","0","22.3","7.4","0","22.3","0","0"
"4","21","20","0","0","20.6","6.7","0","20.6","0","0"
"4","21","21","0","0","19.5","6.2","0","19.5","0","0"
"4","21","22","0","0","18.3","5.7","0","18.3","0","0"
"4","21","23","0","0","17.2","5.2","0","17.2","0","0"
"4","22","0","0","0","17.4","4.8","0","17.4","0","0"
"4","22","1","0","0","17.6","4.5","0","17.6","0","0"
"4","22","2","0","0","17.8","4.1","0","17.8","0","0"
"4","22","3","0","0","18.2","4.3","0","18.2","0","0"
"4","22","4","0","0","18.5","4.4","0","18.5","0","0"
"4","22","5","0","0","18.9","4.6","0","18.9","0","0"
"4","22","6","4","33","19.1","4.8","30.951","18.399","109.364","85.084"
"4","22","7","5","83","19.2","5","80.088","19.537","281.576","253.912"
"4","22","8","2","149","19.4","5.2","143.042","21.02","501.088","468.744"
"4","22","9","6","268","20","5.2","261.873","24.005","904.885","862.86"
"4","22","10","1","400","20.5","5.2","388.888","27.122","1324.426","1270.871"
"4","22","11","7","244","21.1","5.2","241.806","25.121","831.333","791.175"
"4","22","12","103","398","19.3","5.2","508.151","28.147","1722.179","1656.307"
"4","22","13","293","512","17.4","5.2","812.479","32.414","2697.363","2595.591"
"4","22","14","180","447","15.6","5.2","608.395","27.204","2070.203","1992.449"
"4","22","15","330","332","18","4.5","575.641","29.65","1928.572","1855.778"
"4","22","16","555","158","20.4","3.8","455.292","30.258","1482.765","1424.468"
"4","22","17","473","98","22.8","3.1","237.405","28.043","717.969","680.597"
"4","22","18","150","36","20.9","2.9","38.566","20.876","116.462","92.047"
"4","22","19","0","0","19.1","2.8","0","19.1","0","0"
"4","22","20","0","0","17.2","2.6","0","17.2","0","0"
"4","22","21","0","0","16.8","1.7","0","16.8","0","0"
"4","22","22","0","0","16.5","0.9","0","16.5","0","0"
"4","22","23","0","0","16.1","0","0","16.1","0","0"
"4","23","0","0","0","15.9","0.5","0","15.9","0","0"
"4","23","1","0","0","15.8","1","0","15.8","0","0"
"4","23","2","0","0","15.6","1.5","0","15.6","0","0"
"4","23","3","0","0","15.8","1.9","0","15.8","0","0"
"4","23","4","0","0","15.9","2.2","0","15.9","0","0"
"4","23","5","0","0","16.1","2.6","0","16.1","0","0"
"4","23","6","2","18","17.4","3.1","17.123","16.157","61.147","37.768"
"4","23","7","2","128","18.7","3.6","121.449","19.986","427.232","396.508"
"4","23","8","6","165","20","4.1","160.41","22.325","558.205","524.575"
"4","23","9","2","279","21.3","4.1","269.663","26.087","922.844","880.356"
"4","23","10","9","312","22.6","4.1","308.907","28.463","1045.287","999.57"
"4","23","11","3","420","23.9","4.1","411.27","32.03","1368.024","1313.185"
"4","23","12","98","398","25","4.3","502.8","35.096","1647.554","1584.096"
"4","23","13","707","251","26.1","4.4","959.046","45.509","2980.705","2866.983"
"4","23","14","576","249","27.2","4.6","771.44","43.307","2422.46","2331.629"
"4","23","15","737","143","27","4.8","689.953","40.816","2179.282","2097.592"
"4","23","16","731","99","26.9","5","491.626","36.448","1542.933","1482.778"
"4","23","17","596","59","26.7","5.2","236.917","30.885","684.243","647.68"
"4","23","18","300","30","25.4","4.5","40.56","25.446","102.417","78.268"
"4","23","19","1","0","24.1","3.8","0","24.1","0","0"
"4","23","20","0","0","22.8","3.1","0","22.8","0","0"
"4","23","21","0","0","22.4","3.4","0","22.4","0","0"
"4","23","22","0","0","22.1","3.8","0","22.1","0","0"
"4","23","23","0","0","21.7","4.1","0","21.7","0","0"
"4","24","0","0","0","21.1","4.3","0","21.1","0","0"
"4","24","1","0","0","20.6","4.4","0","20.6","0","0"
"4","24","2","0","0","20","4.6","0","20","0","0"
"4","24","3","0","0","19.3","3.1","0","19.3","0","0"
"4","24","4","0","0","18.5","1.5","0","18.5","0","0"
"4","24","5","0","0","17.8","0","0","17.8","0","0"
"4","24","6","168","34","19.3","2.1","34.932","18.406","106.966","82.731"
"4","24","7","573","62","20.7","4.1","223.173","24.219","659.156","623.187"
"4","24","8","830","62","22.2","6.2","493.104","29.929","1585.142","1523.666"
"4","24","9","895","76","23.3","5.9","721.982","35.675","2334.818","2247.339"
"4","24","10","932","86","24.5","5.5","903.539","41.049","2868.246","2759.349"
"4","24","11","953","92","25.6","5.2","1021.493","45.176","3180.068","3057.527"
"4","24","12","952","94","26.9","5.2","1055.624","47.291","3250.875","3125.121"
"4","24","13","950","92","28.1","5.2","1022.644","47.934","3138.168","3017.51"
"4","24","14","937","87","29.4","5.2","916.724","47.223","2819.399","2712.564"
"4","24","15","902","77","29.4","5.4","738.729","43.428","2299.64","2213.488"
"4","24","16","842","63","29.4","5.5","512.663","38.901","1583.069","1521.658"
"4","24","17","722","45","29.4","5.7","261.631","33.868","733.26","695.519"
"4","24","18","407","24","27.7","5.5","41.078","27.8","89.965","66.05"
"4","24","19","2","1","26.1","5.4","0.97","25.089","3.335","0"
"4","24","20","0","0","24.4","5.2","0","24.4","0","0"
"4","24","21","0","0","23.3","4.8","0","23.3","0","0"
"4","24","22","0","0","22.2","4.5","0","22.2","0","0"
"4","24","23","0","0","21.1","4.1","0","21.1","0","0"
"4","25","0","0","0","20.5","3.6","0","20.5","0","0"
"4","25","1","0","0","20","3.1","0","20","0","0"
"4","25","2","0","0","19.4","2.6","0","19.4","0","0"
"4","25","3","0","0","19.2","3.5","0","19.2","0","0"
"4","25","4","0","0","19.1","4.3","0","19.1","0","0"
"4","25","5","0","0","18.9","5.2","0","18.9","0","0"
"4","25","6","2","31","19.3","6.2","29.215","18.684","103.282","79.117"
"4","25","7","101","125","19.6","7.2","147.967","20.959","498.797","466.503"
"4","25","8","23","237","20","8.2","238.227","22.685","826.366","786.332"
"4","25","9","570","234","21.5","8","649.741","30.431","2162.315","2081.244"
"4","25","10","770","207","22.9","7.9","892.527","35.918","2908.12","2797.524"
"4","25","11","870","159","24.4","7.7","1015.117","39.731","3249.61","3123.915"
"4","25","12","871","119","25","7.9","999.254","39.968","3195.593","3072.352"
"4","25","13","883","96","25.5","8","960.979","39.776","3075.667","2957.787"
"4","25","14","826","108","26.1","8.2","840.149","38.367","2704.124","2602.074"
"4","25","15","832","81","25.7","7.5","691.46","36.288","2231.793","2148.171"
"4","25","16","527","141","25.4","6.9","424.719","32.096","1369.987","1315.089"
"4","25","17","482","109","25","6.2","249.901","28.831","755.743","717.455"
"4","25","18","245","41","22.8","5.2","47.389","22.912","134.069","109.319"
"4","25","19","2","1","20.5","4.1","0.97","19.195","3.427","0"
"4","25","20","0","0","18.3","3.1","0","18.3","0","0"
"4","25","21","0","0","17.4","2.9","0","17.4","0","0"
"4","25","22","0","0","16.5","2.8","0","16.5","0","0"
"4","25","23","0","0","15.6","2.6","0","15.6","0","0"
"4","26","0","0","0","14.8","2.8","0","14.8","0","0"
"4","26","1","0","0","14.1","2.9","0","14.1","0","0"
"4","26","2","0","0","13.3","3.1","0","13.3","0","0"
"4","26","3","0","0","12.8","2.9","0","12.8","0","0"
"4","26","4","0","0","12.2","2.8","0","12.2","0","0"
"4","26","5","0","0","11.7","2.6","0","11.7","0","0"
"4","26","6","20","37","13.5","3.8","34.662","12.675","124.113","99.553"
"4","26","7","138","109","15.4","5","143.492","16.931","484.744","452.762"
"4","26","8","419","202","17.2","6.2","419.324","23.49","1415.626","1359.366"
"4","26","9","563","224","18.1","5.7","634.838","29.006","2127.129","2047.333"
"4","26","10","494","337","19.1","5.1","779.808","33.868","2567.738","2471.205"
"4","26","11","496","381","20","4.6","878.983","37.918","2839.756","2732.064"
"4","26","12","749","250","20.9","4.1","1021.2","42.861","3218.01","3093.753"
"4","26","13","524","245","21.9","3.6","772.958","39.789","2473.835","2381.008"
"4","26","14","805","149","22.8","3.1","867.131","43.119","2724.671","2621.777"
"4","26","15","770","130","22.8","3.4","698.118","39.054","2223.99","2140.657"
"4","26","16","692","109","22.8","3.8","479.488","33.427","1528.815","1469.099"
"4","26","17","554","76","22.8","4.1","240.617","27.624","715.252","677.946"
"4","26","18","210","37","21.7","4.1","42.136","21.726","120.78","96.283"
"4","26","19","0","1","20.5","4.1","0.97","19.184","3.427","0"
"4","26","20","0","0","19.4","4.1","0","19.4","0","0"
"4","26","21","0","0","18.5","4.1","0","18.5","0","0"
"4","26","22","0","0","17.6","4.1","0","17.6","0","0"
"4","26","23","0","0","16.7","4.1","0","16.7","0","0"
"4","27","0","0","0","15.2","2.7","0","15.2","0","0"
"4","27","1","0","0","13.7","1.4","0","13.7","0","0"
"4","27","2","0","0","12.2","0","0","12.2","0","0"
"4","27","3","0","0","11.7","0.7","0","11.7","0","0"
"4","27","4","0","0","11.1","1.4","0","11.1","0","0"
"4","27","5","0","0","10.6","2.1","0","10.6","0","0"
"4","27","6","25","34","13.2","2.8","32.44","12.202","115.696","91.295"
"4","27","7","155","140","15.7","3.4","177.36","18.304","598.608","564.053"
"4","27","8","458","186","18.3","4.1","424.15","26.427","1409.461","1353.386"
"4","27","9","610","210","19.6","5.1","656.784","31.69","2171.673","2090.26"
"4","27","10","494","300","20.9","6.2","742.873","33.446","2451.041","2359.102"
"4","27","11","453","392","22.2","7.2","847.708","35.381","2773.5","2668.584"
"4","27","12","692","249","22.9","7.2","962.366","38","3108.242","2988.917"
"4","27","13","668","291","23.7","7.2","957.906","38.857","3080.167","2962.088"
"4","27","14","756","197","24.4","7.2","874.684","38.254","2817.368","2710.619"
"4","27","15","704","182","24.4","7.5","702.955","35.18","2284.787","2199.193"
"4","27","16","610","115","24.4","7.9","441.853","30.767","1429.315","1372.643"
"4","27","17","625","66","24.4","8.2","251.612","27.602","739.555","701.661"
"4","27","18","283","34","22.9","8","43.302","22.87","114.958","90.572"
"4","27","19","2","1","21.5","7.9","0.97","20.625","3.405","0"
"4","27","20","0","0","20","7.7","0","20","0","0"
"4","27","21","0","0","18.9","6.3","0","18.9","0","0"
"4","27","22","0","0","17.8","5","0","17.8","0","0"
"4","27","23","0","0","16.7","3.6","0","16.7","0","0"
"4","28","0","0","0","16.5","3.9","0","16.5","0","0"
"4","28","1","0","0","16.3","4.3","0","16.3","0","0"
"4","28","2","0","0","16.1","4.6","0","16.1","0","0"
"4","28","3","0","0","16.5","4.4","0","16.5","0","0"
"4","28","4","0","0","16.8","4.3","0","16.8","0","0"
"4","28","5","0","0","17.2","4.1","0","17.2","0","0"
"4","28","6","5","26","17.8","4.3","24.843","16.892","88.19","64.308"
"4","28","7","2","107","18.3","4.4","101.745","19.086","359.337","330.061"
"4","28","8","6","230","18.9","4.6","222.507","22.3","774.605","735.855"
"4","28","9","123","303","20.9","5.6","388.185","27.173","1318.305","1264.929"
"4","28","10","96","392","23","6.7","469.868","30.191","1576.324","1515.125"
"4","28","11","244","463","25","7.7","710.59","35.339","2325.471","2238.346"
"4","28","12","423","398","25.4","7.2","840.836","38.482","2709.173","2606.917"
"4","28","13","133","489","25.7","6.7","622.911","35.957","2032.373","1955.961"
"4","28","14","6","347","26.1","6.2","340.238","31.755","1133.226","1085.111"
"4","28","15","25","317","25.7","6.4","322.938","30.599","1081.028","1034.344"
"4","28","16","75","291","25.4","6.5","320.37","30.183","1069.121","1022.761"
"4","28","17","64","125","25","6.7","137.533","26.665","457.54","426.157"
"4","28","18","43","48","23.9","6.5","45.713","23.819","152.74","127.631"
"4","28","19","0","2","22.8","6.4","1.94","21.845","6.771","0"
"4","28","20","0","0","21.7","6.2","0","21.7","0","0"
"4","28","21","0","0","21.3","6.4","0","21.3","0","0"
"4","28","22","0","0","21","6.5","0","21","0","0"
"4","28","23","0","0","20.6","6.7","0","20.6","0","0"
"4","29","0","0","0","20.6","6","0","20.6","0","0"
"4","29","1","0","0","20.6","5.3","0","20.6","0","0"
"4","29","2","0","0","20.6","4.6","0","20.6","0","0"
"4","29","3","0","0","20.4","4.8","0","20.4","0","0"
"4","29","4","0","0","20.2","5","0","20.2","0","0"
"4","29","5","0","0","20","5.2","0","20","0","0"
"4","29","6","1","29","20.4","5.2","27.55","19.693","97.028","72.98"
"4","29","7","5","84","20.7","5.2","81.059","21.07","283.02","255.326"
"4","29","8","5","109","21.1","5.2","106.282","22.045","370.247","340.742"
"4","29","9","6","282","21.5","5.2","274.948","25.721","942.45","899.453"
"4","29","10","3","319","21.8","5.2","310.05","26.958","1056.74","1010.714"
"4","29","11","2","396","22.2","5.2","385.75","28.861","1302.896","1249.969"
"4","29","12","4","499","22.9","5.2","490.519","31.679","1634.413","1571.375"
"4","29","13","0","406","23.7","5.2","393.71","30.814","1317.355","1264.006"
"4","29","14","1","441","24.4","5.2","428.343","32.033","1424.788","1368.252"
"4","29","15","1","314","24.2","5.2","302.502","29.491","1018.618","973.616"
"4","29","16","1","231","24.1","5.2","220.847","27.637","750.213","712.06"
"4","29","17","0","143","23.9","5.2","134.773","25.662","462.178","430.693"
"4","29","18","0","51","23.3","5.7","46.636","23.224","161.767","136.483"
"4","29","19","0","2","22.8","6.2","1.94","21.827","6.772","0"
"4","29","20","0","0","22.2","6.7","0","22.2","0","0"
"4","29","21","0","0","22","6.2","0","22","0","0"
"4","29","22","0","0","21.9","5.7","0","21.9","0","0"
"4","29","23","0","0","21.7","5.2","0","21.7","0","0"
"4","30","0","0","0","21.5","5.2","0","21.5","0","0"
"4","30","1","0","0","21.3","5.2","0","21.3","0","0"
"4","30","2","0","0","21.1","5.2","0","21.1","0","0"
"4","30","3","0","0","21.1","4.7","0","21.1","0","0"
"4","30","4","0","0","21.1","4.1","0","21.1","0","0"
"4","30","5","0","1","21.1","3.6","0.97","19.646","3.42","0"
"4","30","6","0","41","21.3","3.6","37.991","20.696","133.334","108.597"
"4","30","7","0","119","21.5","3.6","112.339","22.679","390.66","360.721"
"4","30","8","1","251","21.7","3.6","239.872","25.933","821.458","781.547"
"4","30","9","0","346","22.4","3.3","332.837","29.199","1122.365","1074.55"
"4","30","10","0","388","23.2","2.9","375.022","31.532","1250.47","1199.056"
"4","30","11","0","458","23.9","2.6","445.054","34.341","1463.77","1406.053"
"4","30","12","1","487","24.5","2.8","475.374","35.586","1553.92","1493.423"
"4","30","13","1","443","25","2.9","431.164","35.004","1413.462","1357.267"
"4","30","14","0","398","25.6","3.1","384.874","34.22","1266.595","1214.718"
"4","30","15","277","315","25.8","2.8","516.436","37.694","1663.602","1599.629"
"4","30","16","284","256","25.9","2.4","401.433","35.922","1287.494","1235.013"
"4","30","17","65","141","26.1","2.1","152.565","29.805","501.091","468.747"
"4","30","18","78","44","24.6","1.4","43.563","24.652","140.293","115.423"
"4","30","19","0","0","23.2","0.7","0","23.2","0","0"
"4","30","20","0","0","21.7","0","0","21.7","0","0"
"4","30","21","0","0","21.9","0.5","0","21.9","0","0"
"4","30","22","0","0","22.2","1","0","22.2","0","0"
"4","30","23","0","0","22.4","1.5","0","22.4","0","0"
"5","1","0","0","0","22.6","2.1","0","22.6","0","0"
"5","1","1","0","0","22.8","2.6","0","22.8","0","0"
"5","1","2","0","0","23.1","3.1","0","23.1","0","0"
"5","1","3","0","0","23.3","3.6","0","23.3","0","0"
"5","1","4","0","0","23.3","3.6","0","23.3","0","0"
"5","1","5","1","0","23.3","1.5","0","23.3","0","0"
"5","1","6","1","16","22.8","3.1","15.19","21.65","52.965","29.738"
"5","1","7","241","118","25","1.5","182.823","28.557","573.331","539.356"
"5","1","8","520","184","26.7","4.1","454.969","35.52","1445.015","1387.868"
"5","1","9","605","236","28.3","2.1","676.651","45.417","2089.086","2010.658"
"5","1","10","378","310","28.9","3.6","650.381","43.344","2042.24","1965.479"
"5","1","11","690","324","30.6","3.6","1006.539","52.461","3015.111","2899.891"
"5","1","12","671","328","31.1","3.1","1016.232","54.911","3004.345","2889.595"
"5","1","13","115","307","28.3","8.2","420.448","34.535","1381.444","1326.206"
"5","1","14","112","361","28.9","6.7","458.549","36.039","1494.93","1436.26"
"5","1","15","387","283","29.4","6.7","563.867","38.32","1808.553","1739.829"
"5","1","16","49","206","27.8","6.7","223.921","31.218","743.79","705.793"
"5","1","17","4","106","26.7","5.7","101.439","27.813","343.598","314.653"
"5","1","18","0","28","26.1","5.2","26.551","25.65","91.055","67.12"
"5","1","19","0","0","23.3","5.7","0","23.3","0","0"
"5","1","20","0","0","22.8","4.1","0","22.8","0","0"
"5","1","21","0","0","22.8","2.1","0","22.8","0","0"
"5","1","22","0","0","23.3","5.2","0","23.3","0","0"
"5","1","23","0","0","22.8","4.6","0","22.8","0","0"
"5","2","0","0","0","22.2","1.5","0","22.2","0","0"
"5","2","1","0","0","21.7","3.6","0","21.7","0","0"
"5","2","2","0","0","21.7","3.1","0","21.7","0","0"
"5","2","3","0","0","21.7","3.6","0","21.7","0","0"
"5","2","4","0","0","21.7","3.1","0","21.7","0","0"
"5","2","5","0","0","21.7","3.6","0","21.7","0","0"
"5","2","6","1","5","21.7","5.2","4.77","20.58","16.633","0"
"5","2","7","1","37","21.7","4.6","35.374","21.131","123.708","99.155"
"5","2","8","28","103","21.1","4.6","113.515","22.181","393.221","363.227"
"5","2","9","1","91","21.1","4.1","87.352","21.836","304.93","276.787"
"5","2","10","0","112","21.1","4.1","106.887","22.208","372.516","342.962"
"5","2","11","0","114","21.1","4.6","109.01","22.218","379.898","350.188"
"5","2","12","1","95","21.1","5.2","91.862","21.812","320.741","292.271"
"5","2","13","1","75","21.7","3.6","72.564","22.101","253.021","225.935"
"5","2","14","2","151","22.2","4.1","146.105","24.15","504.599","472.176"
"5","2","15","11","178","21.7","6.7","177.967","23.779","615.421","580.476"
"5","2","16","10","175","21.7","6.7","171.858","23.715","593.919","559.472"
"5","2","17","1","50","21.1","5.7","47.742","21.056","167.086","141.7"
"5","2","18","1","18","21.1","5.7","17.095","20.324","59.971","36.615"
"5","2","19","0","1","21.1","5.2","0.97","19.923","3.416","0"
"5","2","20","0","0","20.6","5.2","0","20.6","0","0"
"5","2","21","0","0","20.6","4.6","0","20.6","0","0"
"5","2","22","0","0","20.6","4.1","0","20.6","0","0"
"5","2","23","0","0","20.6","4.1","0","20.6","0","0"
"5","3","0","0","0","20","3.6","0","20","0","0"
"5","3","1","0","0","20","4.1","0","20","0","0"
"5","3","2","0","0","20.6","3.6","0","20.6","0","0"
"5","3","3","0","0","20.6","4.6","0","20.6","0","0"
"5","3","4","0","0","20.6","4.1","0","20.6","0","0"
"5","3","5","0","0","20","3.6","0","20","0","0"
"5","3","6","0","8","20","4.1","7.566","18.729","26.793","4.045"
"5","3","7","1","70","20","5.2","66.767","20.052","234.826","208.105"
"5","3","8","8","219","21.1","4.1","212.685","24.463","732.792","695.063"
"5","3","9","10","194","21.7","4.1","192.561","24.935","662.337","626.293"
"5","3","10","7","391","22.2","3.6","383.659","29.828","1289.797","1237.25"
"5","3","11","0","191","22.8","4.6","183.256","25.972","627.519","592.293"
"5","3","12","88","405","23.3","4.6","488.933","32.341","1623.893","1561.19"
"5","3","13","576","405","25.6","5.2","976.784","43.722","3064.058","2946.69"
"5","3","14","137","484","25.6","4.1","602.277","39.023","1934.503","1861.505"
"5","3","15","92","379","25.6","3.1","435.995","35.791","1421.398","1364.964"
"5","3","16","0","156","25","5.2","148.453","27.379","504.969","472.538"
"5","3","17","2","77","24.4","6.2","73.663","24.828","253.232","226.142"
"5","3","18","0","27","21.7","5.2","25.597","21.096","89.671","65.761"
"5","3","19","0","0","21.1","4.1","0","21.1","0","0"
"5","3","20","0","0","20.6","2.1","0","20.6","0","0"
"5","3","21","0","0","19.4","3.1","0","19.4","0","0"
"5","3","22","0","0","20","2.6","0","20","0","0"
"5","3","23","0","0","19.4","4.1","0","19.4","0","0"
"5","4","0","0","0","18.9","3.6","0","18.9","0","0"
"5","4","1","0","0","18.9","2.6","0","18.9","0","0"
"5","4","2","0","0","19.4","3.6","0","19.4","0","0"
"5","4","3","0","0","19.4","2.6","0","19.4","0","0"
"5","4","4","0","0","19.4","3.1","0","19.4","0","0"
"5","4","5","0","0","18.9","4.1","0","18.9","0","0"
"5","4","6","1","38","20","3.6","35.71","19.31","126.006","101.409"
"5","4","7","7","144","20.6","4.1","137.451","22.258","477.587","445.763"
"5","4","8","17","212","21.1","2.6","210.647","25.135","722.71","685.224"
"5","4","9","88","443","22.8","3.6","495.78","32.947","1639.431","1576.233"
"5","4","10","11","382","23.9","4.1","378.197","31.697","1259.976","1208.29"
"5","4","11","3","304","23.9","2.6","295.958","30.732","990.664","946.403"
"5","4","12","12","527","25","2.6","525.448","37.159","1704.246","1638.959"
"5","4","13","47","581","26.7","1.5","623.462","44.262","1950.513","1876.962"
"5","4","14","285","427","26.7","2.6","679.823","43.319","2135.643","2055.539"
"5","4","15","682","260","28.3","3.6","758.341","45.055","2346.08","2258.174"
"5","4","16","359","243","27.8","3.1","426.98","38.146","1349.733","1295.434"
"5","4","17","328","143","26.7","3.6","233.594","31.55","719.396","681.99"
"5","4","18","10","36","25","4.1","34.268","24.913","116.646","92.228"
"5","4","19","2","0","23.9","4.1","0","23.9","0","0"
"5","4","20","0","0","22.8","3.6","0","22.8","0","0"
"5","4","21","0","0","21.7","2.6","0","21.7","0","0"
"5","4","22","0","0","21.1","2.1","0","21.1","0","0"
"5","4","23","0","0","20.6","3.1","0","20.6","0","0"
"5","5","0","0","0","19.4","3.1","0","19.4","0","0"
"5","5","1","0","0","20.6","2.1","0","20.6","0","0"
"5","5","2","0","0","20","2.6","0","20","0","0"
"5","5","3","0","0","20","3.1","0","20","0","0"
"5","5","4","0","0","20","3.1","0","20","0","0"
